time,x_boom,y_boom,theta1,theta2,xt2,fc1,fc2,fct2
0.133,2.19015802914055,3.55866020319223,0.779976868243257,0,0,44979.5486109885,71509.6815949348,3974.23724718712
0.134,2.19028796720555,3.55854605375256,0.779928895890418,0,0,44981.076968322,71514.0599942446,3974.0428114152
0.135,2.19041789987921,3.55843189800505,0.779880923506262,0,0,44982.585892755,71518.4060746777,3973.84848995022
0.136,2.19054782713631,3.55831773597184,0.779832951099983,0,0,44984.0770696109,71522.7226405081,3973.65427205798
0.137,2.1906777489537,3.55820356767328,0.77978497868002,0,0,44985.5520385157,71527.0122536445,3973.46014793228
0.138,2.19080766531008,3.55808939312805,0.779737006254118,0,0,44987.0122055782,71531.2772538852,3973.2661086174
0.139,2.1909375761859,3.55797521235336,0.779689033829395,0,0,44988.4588551275,71535.5197784383,3973.0721459333
0.14,2.19106748156314,3.55786102536502,0.779641061412391,0,0,44989.8931599794,71539.7417789956,3972.8782524103
0.141,2.19119738142521,3.55774683217764,0.77959308900912,0,0,44991.3161911605,71543.9450379049,3972.68442122709
0.142,2.19132727575684,3.55763263280466,0.779545116625119,0,0,44992.7289265047,71548.1311824673,3972.49064615604
0.143,2.19145716454392,3.55751842725848,0.779497144265487,0,0,44994.1322588571,71552.3016985826,3972.2969215109
0.144,2.19158704777345,3.55740421555056,0.779449171934922,0,0,44995.5270032875,71556.4579427479,3972.1032421009
0.145,2.19171692543339,3.55728999769151,0.779401199637762,0,0,44996.9139037923,71560.6011532036,3971.90960318803
0.146,2.19184679751261,3.55717577369113,0.779353227378009,0,0,44998.2936395451,71564.7324603313,3971.71600044725
0.147,2.19197666400083,3.55706154355852,0.779305255159365,0,0,44999.6668304098,71568.8528958248,3971.52242993138
0.148,2.19210652488847,3.55694730730211,0.779257282985255,0,0,45001.034042074,71572.963401228,3971.32888803838
0.149,2.19223638016666,3.55683306492973,0.779209310858851,0,0,45002.3957908479,71577.0648359194,3971.13537148081
0.15,2.19236622982716,3.55671881644868,0.779161338783097,0,0,45003.7525477532,71581.1579839133,3970.94187725975
0.151,2.19249607386229,3.55660456186575,0.779113366760727,0,0,45005.1047426705,71585.2435607594,3970.74840263843
0.152,2.19262591226488,3.55649030118728,0.779065394794283,0,0,45006.4527677964,71589.3222192954,3970.55494512017
0.153,2.19275574502824,3.5563760344192,0.779017422886135,0,0,45007.7969808728,71593.3945550176,3970.36150242781
0.154,2.19288557214611,3.55626176156705,0.778969451038491,0,0,45009.13770833,71597.4611113119,3970.16807248372
0.155,2.19301539361263,3.55614748263605,0.778921479253418,0,0,45010.4752479575,71601.5223838967,3969.97465339277
0.156,2.19314520942229,3.55603319763109,0.778873507532848,0,0,45011.8098712414,71605.5788247119,3969.7812434274
0.157,2.1932750195699,3.55591890655677,0.778825535878595,0,0,45013.141825955,71609.6308462296,3969.58784101118
0.158,2.19340482405059,3.55580460941745,0.77877756429236,0,0,45014.4713379569,71613.6788244467,3969.39444470733
0.159,2.19353462285973,3.55569030621722,0.778729592775749,0,0,45015.7986133171,71617.7231024209,3969.20105320515
0.16,2.19366441599297,3.55557599695999,0.778681621330272,0,0,45017.1238398586,71621.7639928375,3969.00766531025
0.161,2.19379420344616,3.55546168164945,0.778633649957359,0,0,45018.4471889266,71625.8017809529,3968.81427993321
0.162,2.19392398521536,3.55534736028912,0.778585678658364,0,0,45019.7688166935,71629.8367267663,3968.62089608134
0.163,2.19405376129683,3.55523303288235,0.77853770743457,0,0,45021.0888656407,71633.8690674859,3968.42751284918
0.164,2.194183531687,3.55511869943235,0.7784897362872,0,0,45022.4074654904,71637.8990190791,3968.23412941259
0.165,2.19431329638243,3.55500435994218,0.778441765217418,0,0,45023.7247347196,71641.9267787926,3968.04074501911
0.166,2.19444305537985,3.55489001441478,0.778393794226335,0,0,45025.0407811473,71645.9525261298,3967.8473589842
0.167,2.1945728086761,3.554775662853,0.778345823315018,0,0,45026.3557031795,71649.9764249226,3967.65397068331
