"time","x_boom","y_boom","theta1","theta2","xt2","theta1_dot","theta2_dot","xt2_dot","fc1","fc2","fct2"
3.9,2.77476872309558,2.90256010051333,0.535628145361893,0,0,-0.056201573992667,0,0,50444.9910872864,89767.9200048319,2880.37664579181
4,2.78619373062954,2.88596274881887,0.530039340692393,0,0,-0.055578452401619,0,0,50544.9226725518,90127.1116233393,2853.25853098887
4.1,2.79739856686746,2.86948998590626,0.524513541991379,0,0,-0.05494161765921,0,0,50642.8264726469,90479.5143083163,2826.36130016543
4.2,2.8083832721192,2.85314851976651,0.519052112666997,0,0,-0.054291226894861,0,0,50738.7208508804,90825.1248739724,2799.6953167397
4.3,2.81914799685552,2.83694501304596,0.513656400245211,0,0,-0.053627440582432,0,0,50832.6240922434,91163.9435089392,2773.27085969881
4.4,2.82969299824791,2.82088607901435,0.508327736037324,0,0,-0.052950422501624,0,0,50924.5543757442,91495.9736728776,2747.0981178059
4.5,2.8400186366016,2.80497827761925,0.503067434811493,0,0,-0.052260339696431,0,0,51014.5297486989,91821.2219912429,2721.18718395008
4.6,2.85012537168785,2.78922811162994,0.497876794468336,0,0,-0.051557362434267,0,0,51102.568101348,92139.6981453186,2695.54804965444
4.7,2.8600137589818,2.77364202287286,0.492757095720688,0,0,-0.050841664164409,0,0,51188.687143764,92451.4147613766,2670.19059973116
4.8,2.86968444581234,2.75822638856115,0.487709601777607,0,0,-0.050113421474691,0,0,51272.9043829321,92756.3872951579,2645.1246071016
4.9,2.87913816743045,2.74298751772001,0.482735558032696,0,0,-0.049372814048184,0,0,51355.2371017137,93054.6339150754,2620.35972777135
5,2.88837574300261,2.72793164770975,0.477836191756821,0,0,-0.048620024618458,0,0,51435.702338807,93346.1753826594,2595.90549596846
5.1,2.89739807153589,2.71306494084783,0.473012711795299,0,0,-0.047855238925251,0,0,51514.3168699617,93631.0349309258,2571.7713194444
5.2,2.90620612774152,2.69839348113119,0.468266308269636,0,0,-0.047078645667853,0,0,51591.0971904649,93909.2381409038,2547.96647493856
5.3,2.9148009578436,2.68392327105973,0.463598152283881,0,0,-0.046290436459174,0,0,51666.0594987651,94180.812816274,2524.50010380793
5.4,2.9231836753398,2.66966022856173,0.459009395635671,0,0,-0.045490805777888,0,0,51739.2196813984,94445.7888566492,2501.38120782087
5.5,2.93135545672086,2.65561018402153,0.454501170532046,0,0,-0.044679950920965,0,0,51810.5932992778,94704.1981298261,2478.61864511427
5.6,2.93931753715573,2.6417788774098,0.450074589310093,0,0,-0.04385807195473,0,0,51880.1955747025,94956.0743420133,2456.22112631824
5.7,2.94707120614911,2.62817195551632,0.445730744162491,0,0,-0.043025371665578,0,0,51948.041380259,95201.4529084945,2434.19721083872
5.8,2.95461780317838,2.61479496928507,0.441470706868033,0,0,-0.04218205550967,0,0,52014.1452282421,95440.3708223489,2412.55530330671
5.9,2.96195871331642,2.60165337125118,0.437295528527176,0,0,-0.041328331562738,0,0,52078.5212617297,95672.8665236278,2391.30365018412
6,2.96909536284743,2.58875251307907,0.433206239302703,0,0,-0.040464410468474,0,0,52141.1832465616,95898.979767802,2370.45033652957
6.1,2.97602921488218,2.5760976432009,0.429203848165538,0,0,-0.039590505386343,0,0,52202.1445644581,96118.7514941765,2350.00328292022
6.2,2.98276176497949,2.56369390455433,0.425289342645807,0,0,-0.038706831939521,0,0,52261.4182072721,96332.2236945121,2329.97024252675
6.3,2.98929453678057,2.55154633241834,0.421463688589173,0,0,-0.037813608161002,0,0,52319.0167723935,96539.4392821441,2310.35879833864
6.4,2.99562907766262,2.53965985234571,0.417727829918529,0,0,-0.036911054440509,0,0,52374.9524589298,96740.4419611325,2291.17636053894
6.5,3.00176695441828,2.52803927819059,0.414082688401102,0,0,-0.035999393469638,0,0,52429.2370652984,96935.2760969309,2272.43016402058
6.6,3.00770974896713,2.51668931022952,0.410529163421018,0,0,-0.035078850187119,0,0,52481.8819873781,97123.986587188,2254.12726604663
6.7,3.0134590541057,2.5056145333739,0.407068131757392,0,0,-0.034149651723169,0,0,52532.8982178126,97306.618734096,2236.27454404606
6.8,3.01901646930193,2.49481941547208,0.403700447368,0,0,-0.033212027343723,0,0,52582.2963462453,97483.2181181215,2218.87869354266
6.9,3.0243835965403,2.48430830569893,0.400426941178572,0,0,-0.03226620839348,0,0,52630.0865601457,97653.8304727332,2201.94622621493
7,3.02956203622337,2.47408543303064,0.39724842087778,0,0,-0.031312428239119,0,0,52676.2786467683,97818.5015614399,2185.48346807863
7.1,3.03455338313577,2.46415490480251,0.394165670717944,0,0,-0.030350922211596,0,0,52720.8819955892,97977.2770561399,2169.49655779204
7.2,3.03935922247599,2.45452070534725,0.39117945132154,0,0,-0.029381927548116,0,0,52763.9056016545,98130.2024178876,2153.99144507586
7.3,3.04398112596181,2.44518669471153,0.388290499493519,0,0,-0.028405683333801,0,0,52805.35806941,98277.322779522,2138.97388924601
7.4,3.04842064801448,2.43615660744802,0.385499528039517,0,0,-0.027422430442073,0,0,52845.247617157,98418.6828306862,2124.44945785322
7.5,3.05267932202708,2.42743405148058,0.382807225589978,0,0,-0.02643241147598,0,0,52883.5820822889,98554.3267058226,2110.42352542325
7.6,3.05675865672203,2.41902250703978,0.380214256430245,0,0,-0.025435870707838,0,0,52920.3689265485,98684.2978739139,2096.90127229804
7.7,3.06066013260271,2.41092532566638,0.37772126033666,0,0,-0.024433054019255,0,0,52955.615242341,98808.6390322529,2083.88768356517
7.8,3.06438519850391,2.40314572927992,0.375328852418704,0,0,-0.023424208840197,0,0,52989.3277587042,98927.3920017722,2071.38754808067
7.9,3.06793526824579,2.39568680930982,0.373037622967234,0,0,-0.022409584088109,0,0,53021.512848295,99040.5976268303,2059.4054575699
8,3.07131171739564,2.38855152588649,0.370848137308831,0,0,-0.021389430106467,0,0,53052.176534105,99148.2956772029,2047.94580581119
8.1,3.07451588014189,2.38174270708966,0.368760935666321,0,0,-0.020363998602988,0,0,53081.3244966678,99250.5247539982,2037.01278789106
8.2,3.07754904628422,2.37526304825151,0.366776533025476,0,0,-0.01933354258756,0,0,53108.962081362,99347.3221989743,2026.61039952945
8.3,3.08041245834389,2.36911511131185,0.364895419007956,0,0,-0.018298316309824,0,0,53135.0943056799,99438.7240072236,2016.74243647053
8.4,3.08310730879781,2.36330132422318,0.363118057750497,0,0,-0.017258575196308,0,0,53159.7258667019,99524.7647439296,2007.41249393292
8.5,3.08563473744014,2.35782398040282,0.361444887790393,0,0,-0.016214575787615,0,0,53182.861148387,99605.4774646443,1998.62396611722
8.6,3.08799582887453,2.35268523823011,0.359876321957296,0,0,-0.015166575674982,0,0,53204.5042289224,99680.8936397748,1990.38004576466
8.7,3.09019161014034,2.34788712058616,0.358412747271354,0,0,-0.014114833436736,0,0,53224.6588877488,99751.0430827315,1982.68372376539
8.8,3.09222304847579,2.34343151443407,0.357054524847722,0,0,-0.013059608574565,0,0,53243.3286127578,99815.9538828982,1975.53778880828
8.9,3.09409104922086,2.33932017043751,0.355801989807458,0,0,-0.012001161449348,0,0,53260.5166066665,99875.6523416635,1968.94482707596
9,3.09579645386251,2.33555470261569,0.354655451194842,0,0,-0.010939753217144,0,0,53276.2257938106,99930.1629141148,1962.90722197175
9.1,3.0973400382247,2.33213658803281,0.353615191901121,0,0,-0.00987564576451,0,0,53290.4588260434,99979.5081539883,1957.42715388486
9.2,3.09872251080547,2.3290671665203,0.352681468594709,0,0,-0.00880910164409,0,0,53303.2180885596,100023.708663628,1952.50659998433
9.3,3.09994451126305,2.32634764043017,0.35185451165786,0,0,-0.007740384009708,0,0,53314.5057052058,100062.783048241,1948.14733404189
9.4,3.10100660905293,2.32397907441798,0.351134525129826,0,0,-0.006669756551275,0,0,53324.3235433636,100096.74787474,1944.35092628024
9.5,3.10190930221756,2.32196239525418,0.350521686656507,0,0,-0.005597483430222,0,0,53332.6732184043,100125.617635291,1941.11874324418
9.6,3.10265301633013,2.32029839166242,0.350016147446628,0,0,-0.004523829214008,0,0,53339.5560975922,100149.404715427,1938.45194769314
9.7,3.10323810359374,2.31898771418397,0.349618032234425,0,0,-0.003449058810531,0,0,53344.973303353,100168.119366661,1936.35149851383
9.8,3.10366484209699,2.3180308750672,0.349327439248867,0,0,-0.002373437403435,0,0,53348.9257161927,100181.769684223,1934.81815064899
9.9,3.10393343522703,2.31742824818141,0.349144440189427,0,0,-0.001297230386172,0,0,53351.4139769157,100190.361589313,1933.85245504352
10,3.10404401124065,2.31718006895444,0.349069080208383,0,0,-0.000220703296691,0,0,53352.4384881907,100193.898816001,1933.45475860648
